"527213 Divine                                                                                Cait Jarrod                                0100-12-31T20"	"00"	"00-04"
"537689 You Ain't Seen Nothing Yeti!                                                          Steven Butler                              0100-12-31T20"	"00"	"00-04"
"574766 Double Dare                                                                           R.L. Mathewson                             0100-12-31T20"	"00"	"00-04"
"577112 Дневник загадочных писем 1р-1                                                         Джеймс Дашнер & James Dashner              0100-12-31T20"	"00"	"00-04"
"584358 Секреты гоблинов з-1                                                                  Уильям Александер & William Alexander      0100-12-31T20"	"00"	"00-04"
"591569 Anxiety Relief for Kids                                                               Bridget Flynn Walker                       0100-12-31T20"	"00"	"00-04"
"594041 Shatterproof                                                                          Jo Chambliss                               0100-12-31T20"	"00"	"00-04"
"595523 Witch's Oath                                                                          Terry Goodkind                             0100-12-31T20"	"00"	"00-04"
"597512 Search for the Dead                                                                   Sheila Connolly                            0100-12-31T20"	"00"	"00-04"
"623468 When Time Is a River                                                                  Susan Clayton-Goldner                      0100-12-31T20"	"00"	"00-04"
"628507 Flare-up (An Away From Whipplethorn Short Story)                                      Hartoin, A.W.                              0100-12-31T20"	"00"	"00-04"
"658722 Blood Harvest                                                                         Bolton, Sharon                             0100-12-31T20"	"00"	"00-04"
"659622 That's Jennings                                                                       Anthony Buckeridge                         0100-12-31T20"	"00"	"00-04"
"660607 Jennings and Darbishire                                                               Anthony Buckeridge                         0100-12-31T20"	"00"	"00-04"
"665348 Stanley's Christmas Adventure                                                         Jeff Brown                                 0100-12-31T20"	"00"	"00-04"
"697516 Бледный                                                                               Крис Вудинг & Chris Wooding                0100-12-31T20"	"00"	"00-04"
"722353 Song of Suzies                                                                        Dave Balcom                                0100-12-31T20"	"00"	"00-04"
"734619 The Journal of a Disappointed Man                                                     W.N.P. Barbellion                          1918-12-31T20"	"00"	"00-04"
"id title authors pubdate "	""	""
